índice
-0.18
-0.1
-0.12
-0.18
-0.29
-0.34
-0.32
-0.37
-0.18
-0.11
-0.36
-0.23
-0.28
-0.32
-0.31
-0.23
-0.12
-0.11
-0.28
-0.18
-0.09
-0.16
-0.29
-0.38
-0.48
-0.27
-0.22
-0.39
-0.43
-0.49
-0.44
-0.44
-0.37
-0.35
-0.16
-0.15
-0.37
-0.47
-0.3
-0.28
-0.28
-0.2
-0.29
-0.27
-0.27
-0.22
-0.11
-0.22
-0.2
-0.36
-0.16
-0.09
-0.16
-0.29
-0.12
-0.2
-0.15
-0.03
0
-0.02
0.12
0.18
0.06
0.09
0.2
0.09
-0.07
-0.03
-0.11
-0.11
-0.17
-0.07
0.01
0.08
-0.13
-0.14
-0.19
0.05
0.06
0.03
-0.03
0.06
0.03
0.05
-0.2
-0.11
-0.06
-0.02
-0.08
0.05
0.03
-0.08
0.01
0.16
-0.07
-0.01
-0.1
0.18
0.07
0.16
0.26
0.32
0.14
0.31
0.16
0.12
0.18
0.32
0.39
0.27
0.45
0.41
0.22
0.23
0.32
0.45
0.33
0.47
0.61
0.38
0.39
0.53
0.63
0.62
0.53
0.68
0.64
0.66
0.54
0.66
0.72
0.61
0.65
0.68
0.75
0.9
1.01
0.92
0.85
0.98
1.01
0.85
0.89
1.17
1.28
