"Data Source","World Development Indicators",

"Last Updated Date","2025-06-05",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","School enrollment, primary (% gross)","SE.PRM.ENRR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","112.435111999512","108.326507568359","110.920417785645","115.317001342773","113.902641296387","116.187538146973","116.397911071777","117.467498779297","119.884132385254","118.331169128418","120.840927124023","115.082893371582","106.697891235352","104.380500793457","116.108016967773","117.881591796875","115.888189738625","114.176291793313","","109.199996948242","109.697891235352","109.24609375","111.720100402832","104.667572021484","","",
"Africa Eastern and Southern","AFE","School enrollment, primary (% gross)","SE.PRM.ENRR","","","","","","","","","","","59.6303100585938","59.7743301391602","60.5354385375977","61.7024383544922","65.1553421020508","67.497802734375","68.9899368286133","70.8362579345703","71.9246215820312","74.7244415283203","77.7022705078125","79.324836730957","79.6594161987305","79.5842437744141","78.8858489990234","76.6655883789062","76.4804306030273","74.642692565918","73.8232116699219","75.0681686401367","72.5151596069336","73.8209991455078","72.2410278320312","72.244270324707","72.1010284423828","73.8614196777344","73.7845077514648","77.6629180908203","77.8437271118164","76.8383483886719","78.7392196655273","81.9689865112305","84.6974563598633","88.6406173706055","91.0496597290039","94.6678466796875","97.3383865356445","100.662322998047","104.486701965332","104.146858215332","103.481666564941","103.462699890137","103.671943664551","102.879890441895","103.185752868652","101.761177062988","102.054809570312","102.612312316895","103.604759216309","104.275543212891","104.969482421875","103.434097290039","103.090423583984","","",
"Afghanistan","AFG","School enrollment, primary (% gross)","SE.PRM.ENRR","","","","","","","","","","","33.4200096130371","34.3313407897949","34.7526817321777","35.2143707275391","35.7608299255371","36.7159118652344","37.6015090942383","38.3804092407227","39.6710205078125","","46.066291809082","52.377140045166","21.8145503997803","","27.0965194702148","27.3577995300293","29.0641803741455","","37.8462295532227","35.4821014404297","34.5772399902344","36.1169204711914","","36.4765815734863","47.7860984802246","49.6983299255371","","","34.2968788146973","27.298849105835","22.1629905700684","22.9085903167725","75.9597473144531","96.5536804199219","106.252662658691","100.229690551758","103.932243347168","101.086456298828","103.413963317871","99.3697204589844","102.903442382812","100.290298461914","106.283401489258","107.695976257324","109.115516662598","106.182418823242","106.150283813477","106.129997253418","107.780532836914","110.007507324219","","","","","",
"Africa Western and Central","AFW","School enrollment, primary (% gross)","SE.PRM.ENRR","","","","","","","","","","","43.1883201599121","44.8060188293457","46.8385810852051","48.4117813110352","48.6011085510254","49.1497802734375","49.7631301879883","55.6843681335449","63.8839302062988","71.0601272583008","74.2680816650391","78.3523864746094","83.2249221801758","83.3649063110352","82.3899688720703","79.7440872192383","73.3366317749023","71.5825576782227","69.7332077026367","69.0004272460938","70.3363265991211","70.5385208129883","72.4562835693359","74.9255905151367","75.5607070922852","74.3431777954102","69.7618026733398","73.5992126464844","76.5982437133789","79.5409774780273","82.6959915161133","83.1681594848633","84.8815994262695","85.6458892822266","87.6110076904297","88.5914916992188","89.3770370483398","86.6820831298828","84.2991790771484","85.9604415893555","86.5904922485352","89.9065933227539","91.4048690795898","92.6542587280273","91.0842514038086","89.1125717163086","88.7833633422852","88.9391403198242","88.8516082763672","89.7564163208008","90.2461700439453","90.2592391967773","90.3977279663086","90.5013809204102","",
"Angola","AGO","School enrollment, primary (% gross)","SE.PRM.ENRR","","","","","","","","","","","","59.0612411499023","64.0326080322266","66.0256423950195","71.7397079467773","","","","","","153.216613769531","135.969314575195","127.038291931152","114.561050415039","99.758430480957","78.5105895996094","84.5781784057617","84.4925689697266","82.7556381225586","82.3476715087891","77.0995407104492","70.3592910766602","67.4627685546875","","","","","","74.1648483276367","","","","","","","","","104.233329772949","111.10994720459","110.201789855957","111.87287902832","126.245147705078","","","","119.14225769043","107.026964874435","122.235166180926","88.5748689656161","","","88.8339920043945","86.7067961582083","","",
"Albania","ALB","School enrollment, primary (% gross)","SE.PRM.ENRR","","","","","","","","","","","","","","","","","107.733299255371","","102.675048828125","100.689338684082","97.4446792602539","95.9869766235352","95.4044876098633","95.2285919189453","96.8741683959961","98.0063705444336","99.2093200683594","98.8393173217773","98.4175872802734","99.1229476928711","99.3725967407227","100.645713806152","99.0358963012695","98.0643310546875","101.12287902832","104.104759216309","107.015243530273","109.209136962891","109.649749755859","109.397300720215","","","110.338920593262","107.598258972168","104.131721496582","107.016143798828","105.477783203125","103.488441467285","100.383003234863","100.923736572266","99.8618316650391","101.580268859863","102.067359924316","101.474952697754","105.770576477051","105.688652038574","105.324783325195","105.414970397949","104.568023681641","102.589538574219","100.020973205566","97.1074981689453","96.3712310791016","93.7138137817383","",
"Andorra","AND","School enrollment, primary (% gross)","SE.PRM.ENRR","","","","","","","","","","","","","","","","99.0031661987305","","","","","","","","102.523750305176","","","","","","","","","","","","","","","","","","","98.2305068969727","95.1090698242188","92.978630065918","84.2615509033203","84.4279937744141","86.8720626831055","89.4464416503906","90.2379989624023","90.1155624389648","89.0909118652344","88.1348724365234","87.6535186767578","88.2352905273438","88.9553527832031","90.1719436645508","89.3710708618164","89.6744766235352","89.352897644043","88.7170867919922","88.8840789794922","90.147346496582","97.6228637695312","",
"Arab World","ARB","School enrollment, primary (% gross)","SE.PRM.ENRR","","","","","","","","","","","66.1181030273438","66.1768417358398","67.5715408325195","68.7226867675781","69.0941925048828","70.533088684082","72.0075988769531","72.7808303833008","73.1301727294922","74.9248733520508","76.0088577270508","75.9566116333008","76.7008514404297","77.4231872558594","78.2334823608398","78.0311431884766","78.6870269775391","79.5931396484375","80.2281188964844","80.1242599487305","80.9802627563477","81.8153610229492","79.3022384643555","79.918586730957","82.337043762207","81.1727905273438","83.3978424072266","84.3312835693359","85.1208419799805","86.2044372558594","86.6573333740234","87.2939376831055","88.4392776489258","89.3695297241211","89.9266891479492","90.5965728759766","91.589241027832","91.912956237793","92.2495269775391","92.293571472168","92.8117904663086","93.7129364013672","95.148551940918","91.5935897827148","90.6115188598633","90.6106185913086","90.6734237670898","90.8068237304688","91.0692672729492","91.2590484619141","91.6931915283203","91.5481185913086","90.3527984619141","91.7110214233398","",
"United Arab Emirates","ARE","School enrollment, primary (% gross)","SE.PRM.ENRR","","","","","","","","","","","","61.6533088684082","68.8501281738281","74.6328887939453","77.5990295410156","80.7730102539062","93.5190277099609","98.1942825317383","97.6042175292969","94.1813430786133","91.7685394287109","88.1638412475586","94.9387130737305","96.1774826049805","95.8984832763672","93.8554306030273","93.220703125","92.3796310424805","94.2568511962891","98.3102264404297","102.32389831543","104.006652832031","100.77953338623","99.2421722412109","100.862937927246","102.688140869141","100.12816619873","97.3000564575195","98.2942276000977","101.495681762695","102.10684967041","122.869979858398","118.775428771973","117.259651184082","110.694122314453","105.719909667969","100.258071899414","97.2815780639648","","78.3093872070312","80.5201187133789","79.7749786376953","82.2291564941406","82.4103317260742","86.75390625","91.7827072143555","88.7415466308594","81.799201965332","","90.9360885620117","93.7939682006836","","","106.259948730469","",
"Argentina","ARG","School enrollment, primary (% gross)","SE.PRM.ENRR","","","","","","","","","","","105.769477844238","106.752098083496","106.286819458008","105.710746765137","106.127319335938","105.472259521484","105.146507263184","105.946830749512","105.351020812988","105.662490844727","105.670288085938","106.280616760254","106.743217468262","","106.12474822998","107.035743713379","108.8759765625","109.750389099121","110.309837341309","","107.92359161377","109.312889099121","","","111.734931945801","","112.24089050293","109.283897399902","113.895248413086","116.60075378418","117.281173706055","117.307037353516","117.299240112305","114.676582336426","115.667877197266","114.744766235352","116.316131591797","117.350616455078","118.43701171875","118.401557922363","118.234718322754","117.463752746582","116.51634979248","114.509239196777","113.961883544922","113.778198242188","112.944267272949","111.681457519531","111.545608520508","111.36531829834","110.617813110352","110.156112670898","108.722412109375","","",
